Section A	Agriculture, Hunting and Forestry
51.47/9	Wholesale of other household goods not elsewhere classified
51.5	Wholesale of non-agricultural intermediate products, waste and scrap
51.51	Wholesale of solid, liquid and gaseous fuels and related products
51.51/1	Wholesale of petroleum and petroleum products
51.51/2	This code is no longer in use
51.51/9	Wholesale of other fuels and related products
51.52	Wholesale of metals and ores
51.53	Wholesale of wood, construction materials and sanitary equipment
51.54	Wholesale of hardware, plumbing and heating equipment and supplies
51.55	Wholesale of chemical products
51.56	Wholesale of other intermediate products
51.57	Wholesale of waste and scrap
51.6	This code is no longer in use
51.7	This code is no longer in use
51.8	Wholesale of machinery, equipment and supplies
51.81	Wholesale of machine tools
51.82	Wholesale of mining, construction and civil engineering machinery
51.83	Wholesale of machinery for the textile industry, and of sewing and knitting machines
51.84	Wholesale of computers, computer peripheral equipment and software
51.85	Wholesale of other office machinery and equipment
51.86	Wholesale of other electronic parts and equipment
51.87	Wholesale of other machinery for use in industry, trade and navigation
51.88	Wholesale of agricultural machinery and accessories and implements, including tractors
51.9	Other wholesale
51.90	Other wholesale
52	Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Personal and Household Goods
52.1	Retail sale in non-specialised stores
52.11	Retail sale in non-specialised stores with food, beverages or tobacco predominating
52.11/1	Retail sale by confectioners, tobacconists and newsagents (CTNs)
52.11/2	Retail sale in non-specialised stores (excluding CTNs) holding an alcohol licence with food, beverages or tobacco predominating
52.11/3	Retail sale in non-specialised stores (excluding CTNs) not holding an alcohol licence with food, beverages or tobacco predominating
52.11/9	This code is no longer in use
52.12	Other retail sale in non-specialised stores
52.2	Retail sale of food, beverages and tobacco in specialised stores
52.21	Retail sale of fruit and vegetables
52.22	Retail sale of meat and meat products
52.23	Retail sale of fish, crustaceans and molluscs
52.24	Retail sale of bread, cakes, flour confectionery and sugar confectionery
52.25	Retail sale of alcoholic and other beverages
52.26	Retail sale of tobacco products
52.27	Other retail sale of food, beverages and tobacco in specialised stores
52.3	Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles
52.31	Dispensing chemists
52.32	Retail sale of medical and orthopaedic goods
52.32/1	Retail sale of hearing aids
52.32/9	Retail sale of medical and orthopaedic goods not elsewhere classified
52.33	Retail sale of cosmetic and toilet articles
52.4	Other retail sale of new goods in specialised stores
52.41	Retail sale of textiles
52.42	Retail sale of clothing
52.42/1	Retail sale of adults' fur and leather clothing
52.42/2	Retail sale of children's and infants' clothing
52.42/3	Retail sale of other women's clothing
52.42/4	Retail sale of other men's clothing
52.43	Retail sale of footwear and leather goods
52.43/1	Retail sale of footwear
52.43/2	Retail sale of leather goods
52.44	Retail sale of furniture, lighting equipment and household articles not elsewhere classified
52.45	Retail sale of electrical household appliances and radio and television goods
52.46	Retail sale of hardware, paints and glass
52.47	Retail sale of books, newspapers and stationery
52.48	Other retail sale in specialised stores
52.48/1	Retail sale of floor coverings
52.48/2	Retail sale of photographic, optical and precision equipment, office supplies and equipment (including computers, etc.)
52.48/3	This code is no longer in use
52.48/4	Retail sale of jewellery, clocks and watches
52.48/5	Retail sale of sports goods, games and toys, stamps and coins
52.48/6	Retail sale in commercial art galleries
52.48/7	Retail sale by opticians
52.48/8	Retail sale of mobile telephones
52.48/9	Other retail sale in specialised stores not elsewhere classified
52.5	Retail sale of second-hand goods in stores
52.50	Retail sale of second-hand goods in stores
52.50/1	Retail sale of antiques, including antique books in stores
52.50/9	Retail sale of other second-hand goods in stores
52.6	Retail sale not in stores
52.61	Retail sale via mail order house
52.62	Retail sale via stalls and markets
52.63	Other non-store retail sale
52.7	Repair of personal and household goods
52.71	Repair of boots, shoes and other articles of leather
52.72	Repair of electrical household goods
52.73	Repair of watches, clocks and jewellery
52.74	Repair not elsewhere classified
Section H	Hotels and Restaurants
55	Hotels and Restaurants
55.1	Hotels
55.10	Hotels
55.10/1	Hotels and motels, with restaurant (licensed)
55.10/2	Hotels and motels, with restaurant (unlicensed)
55.10/3	Hotels and motels without restaurant
55.2	Camping sites and other provision of short-stay accommodation
55.21	Youth hostels and mountain refuges
55.22	Camping sites, including caravan sites
55.23	Other provision of lodgings not elsewhere classified
55.23/1	Holiday centres and holiday villages
55.23/2	Other self-catering holiday accommodation
55.23/3	This code is no longer in use
55.23/9	Other tourist or short-stay accommodation
55.3	Restaurants
55.30	Restaurants
55.30/1	Licensed restaurants
55.30/2	Unlicensed restaurants and cafes
55.30/3	Take-away food shops
55.30/4	Take-away food mobile stands
55.4	Bars
55.40	Bars
55.40/1	Licensed clubs
55.40/2	Independent public houses and bars
55.40/3	Tenanted public houses and bars
55.40/4	Managed public houses and bars
55.5	Canteens and catering
55.51	Canteens
55.52	Catering
Section I	Transport, Storage and Communication
60	Land Transport; Transport Via Pipelines
60.1	Transport via railways
60.10	Transport via railways
60.10/1	Inter-city services
60.10/2	This code is no longer in use
60.10/9	Other transport via railways
60.2	Other land transport
60.21	Other scheduled passenger land transport
60.21/1	Inter-city coach services
60.21/2	This code is no longer in use
60.21/3	Urban and suburban passenger transportation by underground, metro and similar systems
60.21/9	Other scheduled passenger land transport not elsewhere classified
60.22	Taxi operation
60.23	Other passenger land transport
60.23/1	Renting of buses and coaches
60.23/9	Other passenger land transport not elsewhere classified
60.24	Freight transport by road
60.24/1	Furniture removal activities
60.24/9	Freight transport by road not elsewhere classified
60.3	Transport via pipelines
60.30	Transport via pipelines
61	Water Transport
61.1	Sea and coastal water transport
61.10	Sea and coastal water transport
61.10/1	Passenger sea and coastal water transport
61.10/2	Freight sea and coastal water transport
61.2	Inland water transport
61.20	Inland water transport
61.20/1	Passenger inland water transport
61.20/2	This code is no longer in use
61.20/9	Other inland water transport
62	Air Transport
62.1	Scheduled air transport
62.10	Scheduled air transport
62.10/1	Scheduled passenger air transport
62.10/2	This code is no longer in use
62.10/9	Other scheduled air transport
62.2	Non-scheduled air transport
62.20	Non-scheduled air transport
62.20/1	Non-scheduled passenger air transport
62.20/2	This code is no longer in use
62.20/9	Other non-scheduled air transport
62.3	Space transport
62.30	Space transport
63	Supporting And Auxiliary Transport Activities; Activities Of Travel Agencies
63.1	Cargo handling and storage
63.11	Cargo handling
63.12	Storage and warehousing
63.12/1	Storage of frozen and refrigerated goods
63.12/2	Storage of liquids or gases
63.12/3	Storage of grain
63.12/9	Other storage and warehousing not elsewhere classified
63.2	Other supporting transport activities
63.21	Other supporting land transport activities
63.22	Other supporting water transport activities
63.23	Other supporting air transport activities
63.3	Activities of travel agencies and tour operators; tourist assistance activities not elsewhere classified
63.30	Activities of travel agencies and tour operators; tourist assistance activities not elsewhere classified
63.30/1	Activities of travel agencies
63.30/2	Activities of travel organisers
63.30/3	Activities of tour guides
63.30/4	This code is no longer in use
63.30/9	Other tourist assistance activities not elsewhere classified
63.4	Activities of other transport agencies
63.40	Activities of other transport agencies
64	Post and Telecommunications
64.1	Post and courier activities
64.11	National post activities
64.12	Courier activities other than national post activities
64.2	Telecommunications
64.20	Telecommunications
Section J	Financial Intermediation
65	Financial Intermediation, Except Insurance and Pension Funding
65.1	Monetary intermediation
65.11	Central banking
65.12	Other monetary intermediation
65.12/1	Banks
65.12/2	Building societies
65.2	Other financial intermediation
65.21	Financial leasing
65.22	Other credit granting
65.22/1	Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors
65.22/2	Factoring
65.22/3	Activities of mortgage finance companies
65.22/4	This code is no longer in use
65.22/9	Other credit granting not elsewhere classified
65.23	Other financial intermediation not elsewhere classified
65.23/1	Activities of investment trusts
65.23/2	Activities of unit trusts
65.23/3	Security dealing on own account
65.23/4	Activities of bank holding companies
65.23/5	Activities of venture and development capital companies
65.23/6	This code is no longer in use
65.23/7	Activities of open-ended investment companies
65.23/8	Activities of property unit trusts
65.23/9	Financial intermediation not elsewhere classified
66	Insurance and Pension Funding, Except Compulsory Social Security
66.0	Insurance and pension funding, except compulsory social security
66.01	Life insurance
66.01/1	Life insurance
66.01/2	Life re-insurance
66.02	Pension funding
66.03	Non-life insurance
66.03/1	Non-life insurance
66.03/2	Non-life re-insurance
67	Activities Auxiliary to Financial Intermediation
67.1	Activities auxiliary to financial intermediation, except insurance and pension funding
67.11	Administration of financial markets
67.12	Security broking and fund management
67.12/1	Fund management activities
67.12/2	Security broking and related activities
67.13	Activities auxiliary to financial intermediation not elsewhere classified
67.2	Activities auxiliary to insurance and pension funding
67.20	Activities auxiliary to insurance and pension funding
Section K	Real Estate, Renting and Business Activities
70	Real Estate Activities
70.1	Real estate activities with own property
70.11	Development and selling of real estate
70.12	Buying and selling of own real estate
70.2	Letting of own property
70.20	Letting of own property
70.20/1	Letting of conference and exhibition centres
70.20/2	This code is no longer in use
70.20/9	Other letting of own property
70.3	Real estate activities on a fee or contract basis
70.31	Real estate agencies
70.32	Management of real estate on a fee or contract basis
71	Renting of Machinery and Equipment Without Operator and of Personal and Household Goods
71.1	Renting of automobiles
71.10	Renting of automobiles
71.2	Renting of other transport equipment
71.21	Renting of other land transport equipment
71.21/1	Renting of passenger land transport equipment
71.21/2	This code is no longer in use
71.21/9	Renting of other land transport equipment
71.22	Renting of water transport equipment
71.22/1	Renting of passenger water transport equipment
71.22/2	This code is no longer in use
71.22/9	Renting of other water transport equipment
71.23	Renting of air transport equipment
71.23/1	Renting of passenger air transport equipment
71.23/2	This code is no longer in use
71.23/9	Renting of other air transport equipment
71.3	Renting of other machinery and equipment
71.31	Renting of agricultural machinery and equipment
71.32	Renting of construction and civil engineering machinery and equipment
71.33	Renting of office machinery and equipment including computers
71.34	Renting of other machinery and equipment not elsewhere classified
71.4	Renting of personal and household goods not elsewhere classified
71.40	Renting of personal and household goods not elsewhere classified
71.40/1	Renting of sporting and recreational equipment
71.40/2	This code is no longer in use
71.40/3	Renting of radios, televisions, video recorders and DVD players
71.40/4	Renting of records and other pre-recorded media
71.40/5	Renting of video tapes and DVDs
71.40/9	Renting of other personal and household goods not elsewhere classified
72	Computer and Related Activities
72.1	Hardware consultancy
72.10	Hardware consultancy
72.2	Software consultancy and supply
72.21	Publishing of software
72.22	Other software consultancy and supply
72.3	Data processing
72.30	Data processing
72.4	Database activities
72.40	Database activities
72.5	Maintenance and repair of office, accounting and computing machinery
72.50	Maintenance and repair of office, accounting and computing machinery
72.6	Other computer related activities
72.60	Other computer related activities
73	Research and Development
73.1	Research and experimental development on natural sciences and engineering
73.10	Research and experimental development on natural sciences and engineering
73.2	Research and experimental development on social sciences and humanities
73.20	Research and experimental development on social sciences and humanities
74	Other Business Activities
74.1	Legal, accounting, book-keeping and auditing activities; tax consultancy; market research and public opinion polling; business and management consultancy; holdings
74.11	Legal activities
74.11/1	Activities of patent and copyright agents
74.11/2	Barristers at law
74.11/3	Solicitors
74.11/9	Other legal activities not elsewhere classified
74.12	Accounting, book-keeping and auditing activities; tax consultancy
74.12/1	Accounting and auditing activities
74.12/2	Book-keeping activities
74.12/3	Tax consultancy
74.13	Market research and public opinion polling
74.14	Business and management consultancy activities
74.14/1	Public Relations activities
74.14/2	Financial management
74.14/3	General management consultancy activities
74.14/9	Business and management consultancy activities not elsewhere classified
74.15	Management activities of holding companies
74.15/1	Management activities of wholesale holding companies
74.15/2	Management activities of transport holding companies
74.15/3	Management activities of construction holding companies
74.15/4	Management activities of catering holding companies
74.15/5	Management activities of motor trades holding companies
74.15/6	Management activities of service trades holding companies
74.15/7	Management activities of retail holding companies
74.15/8	Management activities of production holding companies
74.15/9	Management activities of other non-financial holding companies not elsewhere classified
74.2	Architectural and engineering activities and related technical consultancy
74.20	Architectural and engineering activities and related technical consultancy
74.20/1	Architectural activities
74.20/2	Urban planning and landscape architectural activities
74.20/3	Quantity surveying activities
74.20/4	Engineering consultative and design activities
74.20/5	Engineering design activities for industrial process and production
74.20/6	Engineering related scientific and technical consulting activities
74.20/9	Other engineering activities
74.3	Technical testing and analysis
74.30	Technical testing and analysis
74.4	Advertising
74.40	Advertising
74.40/1	Sale or leasing activities of advertising space or time
74.40/2	Planning, creation and placement of advertising activities
74.40/9	Advertising activities not elsewhere classified
74.5	Labour recruitment and provision of personnel
74.50	Labour recruitment and provision of personnel
74.6	Investigation and security activities
74.60	Investigation and security activities
74.60/1	Investigation activities
74.60/2	Security and related activities
74.7	Industrial cleaning
74.70	Industrial cleaning
74.70/1	Traditional cleaning activities
74.70/2	Window cleaning services
74.70/3	Disinfecting and exterminating services
74.70/4	Specialised cleaning services
74.70/5	Furnace and chimney cleaning services
74.70/9	Cleaning activities not elsewhere classified
74.8	Miscellaneous business activities not elsewhere classified
74.81	Photographic activities
74.81/1	This code is no longer in use
74.81/2	Portrait photographic activities
74.81/3	Other specialist photography
74.81/4	Film processing
74.81/9	Photographic activities not elsewhere classified
74.82	Packaging activities
74.83	This code is no longer in use
74.84	This code is no longer in use
74.85	Secretarial and translation activities
74.86	Call centre activities
74.87	Other business activities not elsewhere classified
74.87/1	Credit reporting and collection agency activities
74.87/2	Speciality design activities
74.87/3	Activities of exhibition and fair organisers
74.87/4	Activities of conference organisers
74.87/9	Other business activities not elsewhere classified
Section L	Public Administration and Defence; Compulsory Social Security
75	Public Administration and Defence; Compulsory Social Security
75.1	Administration of the State and the economic and social policy of the community
75.11	General (overall) public service activities
75.12	Regulation of the activities of agencies that provide health care, education, cultural services and other social services excluding social security
75.13	Regulation of and contribution to more efficient operation of business
75.14	Supporting service activities for the government as a whole
75.2	Provision of services to the community as a whole
75.21	Foreign affairs
75.22	Defence activities
75.23	Justice and judicial activities
75.24	Public security, law and order activities
75.25	Fire service activities
75.3	Compulsory social security activities
75.30	Compulsory social security activities
Section M	Education
80	Education
80.1	Primary education
80.10	Primary education
80.2	Secondary education
80.21	General secondary education
80.22	Technical and vocational secondary education
80.3	Higher education
80.30	Higher education
80.30/1	Sub-degree level higher education
80.30/2	First-degree level higher education
80.30/3	Post-graduate level higher education
80.4	Adult and other education
80.41	Driving school activities
80.42	Adult and other education not elsewhere classified
80.42/1	Activities of private training providers
80.42/2	This code is no longer in use
80.42/9	Other adult and other education not elsewhere classified
Section N	Health and Social Work
85	Health and Social Work
85.1	Human health activities
85.11	Hospital activities
85.11/1	Public sector hospital activities, including NHS Trusts
85.11/2	Private sector hospital activities
85.11/3	Medical nursing home activities
85.12	Medical practice activities
85.13	Dental practice activities
85.14	Other human health activities
85.2	Veterinary activities
85.20	Veterinary activities
85.3	Social work activities
85.31	Social work activities with accommodation
85.31/1	Charitable social work activities with accommodation
85.31/2	Non-charitable social work activities with accommodation
85.32	Social work activities without accommodation
85.32/1	Charitable social work activities without accommodation
85.32/2	Non-charitable social work activities without accommodation
Section O	Other Community, Social and Personal Service Activities
90	Sewage and Refuse Disposal, Sanitation and Similar Activities
90.0	Sewage and refuse disposal, sanitation and similar activities
90.01	Collection and treatment of sewage
90.02	Collection and treatment of other waste
90.03	Sanitation, remediation and similar activities
91	Activities of Membership Organisations Not Elsewhere Classified
91.1	Activities of business, employers and professional organisations
91.11	Activities of business and employers organisations
91.12	Activities of professional organisations
91.2	Activities of trade unions
91.20	Activities of trade unions
91.3	Activities of other membership organisations
91.31	Activities of religious organisations
91.32	Activities of political organisations
91.33	Activities of other membership organisations not elsewhere classified
92	Recreational, Cultural and Sporting Activities
92.1	Motion picture and video activities
92.11	Motion picture and video production
92.11/1	Motion picture production on film or video
92.11/9	Other motion picture and video production activities
92.12	Motion picture and video distribution
92.13	Motion picture projection
92.2	Radio and television activities
92.20	Radio and television activities
92.20/1	Radio activities
92.20/2	Television activities
92.3	Other entertainment activities
92.31	Artistic and literary creation and interpretation
92.31/1	Live theatrical presentation
92.31/2	This code is no longer in use
92.31/9	Other artistic and literary creation and interpretation
92.32	Operation of arts facilities
92.33	Fair and amusement park activities
92.34	Other entertainment activities not elsewhere classified
92.34/1	Dance halls and dance instructor services
92.34/9	Other entertainment activities not elsewhere classified
92.4	News agency activities
92.40	News agency activities
92.5	Library, archives, museums and other cultural activities
92.51	Library and archive activities
92.52	Museum activities and preservation of historical sites and buildings
92.52/1	Museum activities
92.52/2	Preservation of historical sites and buildings
92.53	Botanical and zoological gardens and nature reserve activities
92.6	Sporting activities
92.61	Operation of sports arenas and stadiums
92.61/1	Operation of ice rinks and roller skating rinks
92.61/9	Operation of other sports arenas and stadiums not elsewhere classified
92.62	Other sporting activities
92.62/1	Activities of racehorse owners
92.62/9	Other sporting activities not elsewhere classified
92.7	Other recreational activities
92.71	Gambling and betting activities
92.72	Other recreational activities not elsewhere classified
92.72/1	Motion picture, television and other theatrical casting
92.72/9	Other recreational activities not elsewhere classified
93	Other Service Activities
93.0	Other service activities
93.01	Washing and dry cleaning of textile and fur products
93.02	Hairdressing and other beauty treatment
93.03	Funeral and related activities
93.04	Physical well-being activities
93.05	Other service activities not elsewhere classified
93.05/1	Operation of coin-operated photographic machines
93.05/9	Other service activities not elsewhere classified
Section P	Private Households Employing Staff and Undifferentiated Production Activities of Households for Own Use
95	Activities of Households as Employers of Domestic Staff
95.0	Activities of households as employers of domestic staff
95.00	Activities of households as employers of domestic staff
96	Undifferentiated Goods Producing Activities of Private Households for Own Use
96.0	Undifferentiated goods producing activities of private households for own use
96.00	Undifferentiated goods producing activities of private households for own use
97	Undifferentiated Services Producing Activities of Private Households for Own Use
97.0	Undifferentiated services producing activities of private households for own use
97.00	Undifferentiated services producing activities of private households for own use
Section Q	Extra-territorial Organisation and Bodies
99	Extra-territorial Organisations and Bodies
99.0	Extra-territorial organisations and bodies
99.00	Extra-territorial organisations and bodies
